sensor_id,temperature,humidity,ph_level,soil_moisture,nitrogen_level,phosphorus_level,potassium_level,timestamp,location_latitude,location_longitude,altitude,soil_type,crop_type,field_size
1,27.43,16.83,8.49,91.96,57.97,96.1,57.39,1/18/2022 21:13:48,43.7367435,16.9849984,832.89,clayey,corn,991.24
2,60.95,8.65,12.51,77.54,20.95,40.61,80.11,12/3/2022 00:15:41,6.2820276,10.2852532,5720.98,sandy,corn,527.62
3,55.67,24.66,13.47,2.42,46.85,8.56,20.27,3/30/2022 20:12:06,54.0473494,61.7492324,4846.55,sandy,corn,751.72
4,32.55,2.27,4.17,41.64,85.58,23.67,7.5,2/28/2022 18:01:26,9.492846,123.2989088,7707.06,loamy,soybean,883.18
5,82.54,92.81,1.86,77.02,14.1,32.01,81.62,5/8/2022 01:45:54,44.5089456,19.6011491,2106.36,sandy,soybean,24.22
6,67.93,23.54,9.43,61.13,40.3,66.31,19.67,1/3/2022 01:27:59,14.5727654,121.0257322,1105.01,sandy,wheat,195.18
7,44.38,82.3,5.91,71.54,88.2,67.87,19.5,11/26/2022 03:58:27,27.33699,112.341117,8998.23,sandy,wheat,310.53
8,8.56,5.05,4.21,77.89,19.54,10.43,22.07,12/26/2022 15:31:04,40.13652,124.395757,4989.71,sandy,wheat,254.76
9,89.25,66.36,9.91,83.38,59.25,43.21,11.8,10/25/2022 10:36:15,32.3855324,-86.2514126,9456.71,sandy,wheat,763.55
10,84.83,24.18,11.89,49.88,37.29,12.0,79.43,1/1/2022 11:33:58,41.0083753,-8.4622869,6568.42,loamy,corn,295.38
11,85.79,18.83,9.97,88.18,35.11,12.94,8.72,1/3/2022 21:17:14,22.816884,115.830376,8497.06,clayey,wheat,632.65
12,99.03,73.14,3.36,84.95,52.08,20.67,92.94,3/2/2022 10:28:39,40.0395689,65.9690392,4162.56,sandy,corn,23.46
13,47.91,16.13,7.13,31.17,56.36,21.29,24.55,12/27/2022 23:13:10,47.111918,87.486703,7100.76,clayey,corn,642.13
14,95.81,26.1,10.8,30.26,70.08,81.57,8.24,6/3/2022 05:30:39,-9.796549,124.6773561,1824.96,clayey,corn,538.9
15,16.45,69.29,10.83,71.88,68.47,38.88,84.72,4/26/2022 12:13:49,49.2215531,16.2941515,1410.28,clayey,wheat,522.96
16,62.19,43.15,8.35,58.21,53.69,55.03,64.02,9/27/2022 20:19:05,24.467141,115.77735,4604.1,clayey,wheat,902.6
17,38.73,55.37,10.79,61.88,29.94,26.77,38.34,2/16/2022 05:12:28,0.881124,124.014,902.67,sandy,soybean,539.28
18,22.34,44.69,9.16,27.98,9.36,24.21,27.22,11/6/2022 17:30:35,55.8071267,44.086347,851.02,sandy,soybean,393.71
19,63.85,83.29,3.42,41.87,24.38,63.37,49.32,10/26/2022 20:18:28,-19.67511,-51.1913338,4636.81,sandy,corn,844.92
20,41.46,56.23,11.1,27.38,66.34,44.26,57.44,10/25/2022 06:34:03,61.5656107,25.1814985,4126.54,loamy,soybean,52.85
21,46.78,44.13,6.22,66.22,96.62,33.17,96.43,9/28/2022 20:10:12,56.658933,12.87013,7193.43,loamy,soybean,413.0
22,42.6,31.87,3.51,16.95,98.34,74.08,92.55,10/8/2022 10:07:42,55.6686,37.5470072,2550.6,loamy,wheat,878.0
23,46.34,38.0,7.76,44.24,12.8,97.19,72.66,6/4/2022 11:09:06,37.749246,140.4729678,7921.05,clayey,soybean,129.25
24,13.39,2.29,3.94,19.59,49.43,96.25,9.33,3/29/2022 15:52:32,32.8172446,-96.7712123,4071.3,loamy,corn,66.95
25,52.1,4.4,8.68,72.25,21.47,98.33,40.21,3/15/2022 11:41:34,23.110052,113.240664,603.19,clayey,wheat,464.12
26,17.38,76.32,2.74,35.43,66.13,96.22,19.78,2/3/2022 00:55:18,-7.099977,106.888644,8010.79,sandy,soybean,50.26
27,63.13,15.29,4.55,1.01,57.72,57.37,69.78,2/25/2022 03:16:30,1.6408734,-75.4111644,758.83,clayey,corn,771.62
28,14.98,28.16,6.82,91.84,76.29,31.06,37.04,12/2/2022 06:37:38,-1.371775,-48.3854399,9796.66,loamy,wheat,564.52
29,48.42,44.67,8.95,46.92,39.82,66.72,34.51,4/7/2022 20:08:56,10.5925289,14.3210095,5251.75,clayey,corn,263.54
30,86.63,78.45,5.82,33.24,50.35,85.25,60.7,6/27/2022 05:34:06,8.60972,-13.19,3929.89,clayey,wheat,780.01
31,38.0,89.13,3.0,75.43,65.33,89.25,20.01,6/8/2022 11:54:57,35.7948809,-78.505857,3535.3,clayey,corn,344.74
